IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,CUB,Cuba,Year,2022,true,,,,,,,,,,,,,,,,,,,,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,AGO,Angola,Year,2022,true,,,,,,,,,,,,,101.3,,,,,,101.26,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2022,true,,,,,,,,,,,,,1011,,,,,,1011.09,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2022,true,,,,,,,,,,,,,1078,,,,,,1078.23,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2022,true,,,,,,,,,,,,,1085,,,,,,1084.67,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2022,true,,,,,,,,,,,,,1085,,,,,,1084.88,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2022,true,,,,,,,,,,,,,109.5,,,,,,109.53,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,CHE,Switzerland,Year,2022,true,,,,,,,,,,,,,10963,,,,,,10963.43,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,MNE,Montenegro,Year,2022,true,,,,,,,,,,,,,1107,,,,,,1107.06,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2022,true,,,,,,,,,,,,,1111,,,,,,1110.68,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,COK,Cook Islands,Year,2022,true,,,,,,,,,,,,,1130,,,,,,1130.22,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2022,true,,,,,,,,,,,,,1151,,,,,,1150.69,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2022,true,,,,,,,,,,,,,1160,,,,,,1160.26,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,POL,Poland,Year,2022,true,,,,,,,,,,,,,1193,,,,,,1193.13,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,COM,Comoros,Year,2022,true,,,,,,,,,,,,,122.9,,,,,,122.94,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,HUN,Hungary,Year,2022,true,,,,,,,,,,,,,1224,,,,,,1224.43,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,USA,United States of America,Year,2022,true,,,,,,,,,,,,,12434,,,,,,12434.43,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2022,true,,,,,,,,,,,,,127.4,,,,,,127.44,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2022,true,,,,,,,,,,,,,1292,,,,,,1292.02,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,BRB,Barbados,Year,2022,true,,,,,,,,,,,,,1302,,,,,,1302.06,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,LSO,Lesotho,Year,2022,true,,,,,,,,,,,,,133.7,,,,,,133.7,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,HRV,Croatia,Year,2022,true,,,,,,,,,,,,,1344,,,,,,1344.19,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2022,true,,,,,,,,,,,,,135.4,,,,,,135.43,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,ARG,Argentina,Year,2022,true,,,,,,,,,,,,,1371,,,,,,1370.88,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2022,true,,,,,,,,,,,,,145.6,,,,,,145.56,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,PAN,Panama,Year,2022,true,,,,,,,,,,,,,1472,,,,,,1472.05,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2022,true,,,,,,,,,,,,,15.35,,,,,,15.35,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2022,true,,,,,,,,,,,,,154.5,,,,,,154.49,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,CHL,Chile,Year,2022,true,,,,,,,,,,,,,1547,,,,,,1547.29,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2022,true,,,,,,,,,,,,,1593,,,,,,1593.37,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,MDG,Madagascar,Year,2022,true,,,,,,,,,,,,,16.32,,,,,,16.32,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,SVK,Slovakia,Year,2022,true,,,,,,,,,,,,,1642,,,,,,1642.39,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,LVA,Latvia,Year,2022,true,,,,,,,,,,,,,1642,,,,,,1642.47,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2022,true,,,,,,,,,,,,,169.4,,,,,,169.43,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2022,true,,,,,,,,,,,,,171,,,,,,170.98,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2022,true,,,,,,,,,,,,,1700,,,,,,1700.32,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2022,true,,,,,,,,,,,,,174.9,,,,,,174.91,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,GRC,Greece,Year,2022,true,,,,,,,,,,,,,1768,,,,,,1768.11,,,EN,2024-12-09T21:00:00.000Z
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2022,true,,,,,,,,,,,,,1782,,,,,,1781.56,,,EN,2024-12-09T21:00:00.000Z
