IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,NER,Niger,Year,2020,true,,,,,,,,,,,,,10,,,,,,10,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AMR,Americas,Country,CAN,Canada,Year,2020,true,,,,,,,,,,,,,100,,,,,,100,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AMR,Americas,Country,SLV,El Salvador,Year,2020,true,,,,,,,,,,,,,100,,,,,,100,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AMR,Americas,Country,GUY,Guyana,Year,2020,true,,,,,,,,,,,,,100,,,,,,100,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,EUR,Europe,Country,RUS,Russian Federation,Year,2020,true,,,,,,,,,,,,,100,,,,,,100,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2020,true,,,,,,,,,,,,,26,,,,,,26,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2020,true,,,,,,,,,,,,,31,,,,,,31,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2020,true,,,,,,,,,,,,,31,,,,,,31,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,CAF,Central African Republic,Year,2020,true,,,,,,,,,,,,,32,,,,,,32,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,EUR,Europe,Country,SMR,San Marino,Year,2020,true,,,,,,,,,,,,,33,,,,,,33,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,BEN,Benin,Year,2020,true,,,,,,,,,,,,,35,,,,,,35,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,GMB,Gambia,Year,2020,true,,,,,,,,,,,,,35,,,,,,35,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2020,true,,,,,,,,,,,,,35,,,,,,35,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,MRT,Mauritania,Year,2020,true,,,,,,,,,,,,,35,,,,,,35,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,MDG,Madagascar,Year,2020,true,,,,,,,,,,,,,36,,,,,,36,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,SSD,South Sudan,Year,2020,true,,,,,,,,,,,,,36,,,,,,36,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,COG,Congo,Year,2020,true,,,,,,,,,,,,,37,,,,,,37,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,TCD,Chad,Year,2020,true,,,,,,,,,,,,,39,,,,,,39,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,MWI,Malawi,Year,2020,true,,,,,,,,,,,,,39,,,,,,39,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,SEAR,South-East Asia,Country,NPL,Nepal,Year,2020,true,,,,,,,,,,,,,39,,,,,,39,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,GAB,Gabon,Year,2020,true,,,,,,,,,,,,,40,,,,,,40,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AMR,Americas,Country,HTI,Haiti,Year,2020,true,,,,,,,,,,,,,40,,,,,,40,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,LSO,Lesotho,Year,2020,true,,,,,,,,,,,,,40,,,,,,40,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,EUR,Europe,Country,AND,Andorra,Year,2020,true,,,,,,,,,,,,,41,,,,,,41,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,COM,Comoros,Year,2020,true,,,,,,,,,,,,,41,,,,,,41,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2020,true,,,,,,,,,,,,,42,,,,,,42,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,AFR,Africa,Country,BWA,Botswana,Year,2020,true,,,,,,,,,,,,,43,,,,,,43,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition",text,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2020,true,,,,,,,,,,,,,43,,,,,,43,,Electronic State-Parties Self Assessment tool Annual Reporting October 2021,EN,2022-05-19T21:00:00.000Z
